Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,3.4038777351379395,26.476404190063477
010,3.0130562782287598,27.166154861450195
011,2.632222890853882,18.027755737304688
012,3.485783338546753,23.34523582458496
013,3.194228410720825,24.1867733001709
015,3.6456222534179688,17.52141571044922
016,3.7716684341430664,24.166091918945312
019,4.048540115356445,27.0
020,3.528416156768799,23.108440399169922
022,3.2044625282287598,27.294687271118164
024,3.0893611907958984,20.32240104675293
027,3.3834919929504395,20.2237491607666
028,3.100836753845215,18.788293838500977
Avg:,3.3462744676149807,22.894415635329025
StdDev (mm^2),0.12395880868985404,11.845728249349284
