Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,3.1118462085723877,23.68543815612793
010,2.9147651195526123,25.573423385620117
011,2.600536823272705,16.61324691772461
012,3.2815935611724854,18.493242263793945
013,3.1591548919677734,21.470911026000977
015,3.607090950012207,21.67948341369629
016,3.402097225189209,20.615528106689453
019,2.913626194000244,16.155494689941406
020,3.348813056945801,20.099750518798828
022,3.313976287841797,31.906112670898438
024,2.6530280113220215,18.220867156982422
027,3.3452553749084473,21.189620971679688
028,3.0485951900482178,19.87460708618164
Avg:,3.1307983765235314,21.198286643395058
StdDev (mm^2),0.08165152484591934,15.863413880011304
