Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,3.377814292907715,23.790754318237305
010,2.607966661453247,21.118711471557617
011,2.9792561531066895,22.803508758544922
012,3.140902042388916,17.233688354492188
013,2.431988477706909,13.416407585144043
015,3.1902570724487305,16.552946090698242
016,2.988985300064087,20.099750518798828
019,2.8984627723693848,17.37814712524414
020,2.9189999103546143,21.189620971679688
022,2.77349853515625,23.0867919921875
024,2.4615135192871094,12.206555366516113
027,2.9328362941741943,19.131126403808594
028,2.470158100128174,15.066518783569336
Avg:,2.859433779349694,18.698040595421425
StdDev (mm^2),0.08170717351396306,12.921736162067232
