Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,3.314619302749634,25.787593841552734
010,3.0934975147247314,28.17800521850586
011,3.290550708770752,22.56102752685547
012,3.6712727546691895,25.079872131347656
013,3.273334503173828,24.67792510986328
015,4.162208557128906,29.223278045654297
016,3.283397912979126,23.280893325805664
019,3.8003454208374023,29.49576187133789
020,3.582118272781372,22.0
022,3.51493501663208,35.411861419677734
024,3.0446791648864746,29.84962272644043
027,3.822394847869873,26.70206069946289
028,2.774946928024292,15.748015403747559
Avg:,3.4329462234790507,25.99968594771165
StdDev (mm^2),0.1296390845536425,21.093237864590318
