Patient #,Avg Hausdorff (mm),Max Hausdorff (mm)
007,2.8000974655151367,19.10497283935547
010,2.273372173309326,23.72762107849121
011,2.6377408504486084,19.02629852294922
012,3.1689043045043945,21.189620971679688
013,2.608304738998413,17.34935188293457
015,3.337973117828369,18.11077117919922
016,2.8464412689208984,24.351591110229492
019,3.5301530361175537,23.790754318237305
020,3.748624801635742,24.919872283935547
022,2.296114206314087,20.099750518798828
024,2.776211738586426,18.6279354095459
027,2.810232162475586,18.384777069091797
028,2.5922904014587402,16.031219482421875
Avg:,2.8789584820087137,20.362656666682316
StdDev (mm^2),0.18598105460039507,7.977605390213909
